news_id,company_name,entity_id,title,summary,published,link,source,fetched_at,ai_summary,news_type,sector_tag
169,Mavis,41a173ae-cc52-4a23-9ac4-47c688fc1af8,"Mavis Tires & Brakes Celebrates New Store Grand Opening in Houston, Texas - EIN News","Mavis Tires & Brakes Celebrates New Store Grand Opening in Houston, Texas&nbsp;&nbsp;EIN News",41:00.0,https://news.google.com/rss/articles/CBMisgFBVV95cUxOQkJIUmlpckl5QjF6bU1xYlVfQ2FNLTIyQVRteEw2NlVjbnhPMmJOaGI2WGdhSUFhNWJLRHJMVUFKMkw2ZzFsWElJeldBMHFvYW1TWkRhNGtpaEh5T1NGWk54MTBHdFpGbk5FMHZQeE5fN1R4YzJwN1JPS2dTcEdwUVJoR0N3UTl3a0dYb2ROcVg1XzFiak5iWHphQjZNQWpfaURDQjZmM01YeWVtMW53RGZR0gG3AUFVX3lxTE1DV2lSdUkxN2dxRk03ek02bUpna1JoUFQxTktBZzktNXo1M1hWOEdSbVBMM3pJdF9UUDN6QW94X0czU01PWHRUZDFhYUZCVFFQSzRZVFp0bXBCMDc1T1hEald2ZElIVnJwUzNETDJjR0F3LTRvTFNTNW1OUEl3bXFSU0tTMWJ1c0pJWWl0WnJlVURzLThfNkN1VjM2V0wtc3EyYVUtY0RHZTNLRThBZlhtOHFub0ZMaw?oc=5,EIN News,4/22/2026,"Store expansion in Houston demonstrates ongoing capital deployment for growth and market penetration, which could indicate management confidence in the unit economics and contribute to revenue growth if the location meets performance targets. New store openings are relevant to tracking organic growth trajectory and reinvestment strategies that affect EBITDA margins and leverage ratios for the portfolio company.",company,NULL
170,Core Power,82b0aba4-8b3c-4ce0-a864-d3ae055a7974,CorePower Yoga Adds Red Light Classes Through HigherDose - Athletech News,CorePower Yoga Adds Red Light Classes Through HigherDose&nbsp;&nbsp;Athletech News,16:13.0,https://news.google.com/rss/articles/CBMiekFVX3lxTE5qdHNSM0ZnMmJWNF9HRm5OUXg2aU00Y1dUU2tMQTI5eGt3NkprTEFHX0VlZkpRaF8xQ1BGWGo3eXYxeEgtU0haNzZRLUl1Z29TamU3YjdLN1hjZ05tZkxBdGlucnFaN20tZ3pFeEtQazB2YkhxVTY1WFZn?oc=5,Athletech News,4/22/2026,"CorePower Yoga is expanding its service offerings through a partnership with HigherDose to introduce red light therapy classes, representing a product diversification strategy that could enhance member retention, justify premium pricing tiers, and differentiate the brand in a competitive fitness market. This type of amenity expansion is typically associated with revenue uplift per location and improved studio economics, though financial materiality depends on adoption rates and margin contribution relative to traditional yoga classes.",company,NULL
171,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Fintech Revolut preps $100B secondary - Axios,Fintech Revolut preps $100B secondary&nbsp;&nbsp;Axios,59:54.0,https://news.google.com/rss/articles/CBMiekFVX3lxTE81bGpRWENBZDlhVDJXX1dCNS1NQXAycGtpWVEtb1JEMmc3WGEtYXBGT05DZjVKQkpXV0doQWl5OFROT01HREVSUlZzMGNWYnlPZndCWGM0cjBndUNNMjdDckxjYUdGblRJZmtiM3JLN0NvaXBjTXc5SE13?oc=5,Axios,4/22/2026,"Revolut is preparing a secondary share sale that could value the company at $100B, signaling a significant valuation milestone and potential liquidity event for existing investors; this reflects strong business momentum and could impact the company's capital structure, employee equity value, and positioning for future growth or strategic transactions.",company,NULL
172,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Article: Rebaza Alcázar helps UK fintech Revolut obtain banking licence in Peru - Latin Lawyer,Article: Rebaza Alcázar helps UK fintech Revolut obtain banking licence in Peru&nbsp;&nbsp;Latin Lawyer,52:05.0,https://news.google.com/rss/articles/CBMipAFBVV95cUxNU2RHQWlkWXNXU1Z0VmppZzBKNkpoZjlkMzRrcWxhYnZlNjd1NFZKNkRxbnNwSVZKRzA3SW5xOU1NOGliUmhNa01ZLVhWdVJKM2pmLW5vNHlBZndvVDM0dnlHVkNYV2h2LUJGNjB2UFJrTnFHTmRNaUd4QWp5WUxkUEZfTF9hMUJqRmRJYjExMnpla2RyRHBnRVZ3XzZFeHU5QnEtVg?oc=5,Latin Lawyer,4/22/2026,"Revolut's obtainment of a banking licence in Peru represents significant geographic expansion into a major Latin American market, enabling the company to offer regulated banking services and expand its revenue streams beyond its core European operations. This regulatory milestone reduces operational constraints in Peru, supports the company's strategy of international expansion, and positions it to capture market share in a high-growth emerging market, which could materially impact future revenue growth and valuation.",company,NULL
173,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut Files for U.S. Bank Charter in Second Attempt at License - CoinMarketCap,Revolut Files for U.S. Bank Charter in Second Attempt at License&nbsp;&nbsp;CoinMarketCap,53:46.0,https://news.google.com/rss/articles/CBMipwFBVV95cUxNQ1dYUTM4NnhhWlJMNkV6NTlhTGQ1ajA2am5GbGpKc21MOHJlRlJJd1QwRzRKRTdHbTNnQ1RJeVpHQUlLY0huR0Q5aFF6d3BGc3B0N2hmS0lEYlhiTW04TTFMZGpMZVZBbnV4RmtienBnWjU0Z0tVRlZSbEh2TUI0dzRZYmhyRFFsaWlRN0xWN2JTQ1ozdkpLeE5wQnpRUVZDWXQxX1JKRQ?oc=5,CoinMarketCap,4/22/2026,"Revolut's second attempt at obtaining a U.S. bank charter is strategically critical, as approval would enable the company to offer full banking services domestically, potentially unlocking significant revenue streams and reducing regulatory friction in its largest addressable market. Success would materially improve the company's valuation trajectory and competitive positioning, while failure could constrain U.S. growth and increase reliance on third-party banking partnerships.",company,NULL
174,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Why U.S. listings are vital to Wise and Revolut - American Banker,Why U.S. listings are vital to Wise and Revolut&nbsp;&nbsp;American Banker,35:00.0,https://news.google.com/rss/articles/CBMingFBVV95cUxNY0RVd2ZQb2E3eW9Ea25Dazg2bzBaR1RxNThTYTdmZkhITENHdjJVbVl0ZWNzQXFRZmFYNElveDJtd2FhR252NVJhVXVFZDFoM1YwazNZa1Z1Skl3T2hGSVVOZUhUVDlVS1RveHpnMHFnOG1IQkF6djJnNFY1NWJld0FfSDdFMTZ3eGxrVkVTQ21pRDNqelJ0Zi1pZm10QQ?oc=5,American Banker,4/22/2026,"The article directly addresses a critical strategic priority for Revolut's growth and valuation: accessing U.S. capital markets through a public listing, which would provide liquidity for investors, enable acquisitions, and significantly expand its addressable market. A U.S. listing would be transformational for Revolut's revenue potential and enterprise valuation, making it highly material to portfolio performance.",company,NULL
175,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut Targeting $200 Billion Valuation in Eventual IPO - PYMNTS.com,Revolut Targeting $200 Billion Valuation in Eventual IPO&nbsp;&nbsp;PYMNTS.com,51:56.0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOWEpfTzNGOW5ST3ZIb3RtcU9HU0lwbzZiTWNXT1Uxc01VVGJscTBJclpHTXVSbHRrYWQ3cDlqWS1CQjdxVXktc28yYkZGWGF4UlR0YkpMeGI0VEtkbnN2MmFNdmZqSnJQT3pORlNoRldhOUx0TzdxMk1feG5Bdy1VaVJETjBpMUJGRUFtdnFZdTRPWDJJa2pQZnRTX1dqTUIzOFBIVEhSNDM?oc=5,PYMNTS.com,4/22/2026,"Revolut's $200 billion IPO valuation target signals management's confidence in the company's growth trajectory and provides critical insight into potential exit value for PE investors, directly impacting expected returns and exit multiples. This announcement reflects the company's progress toward profitability and market expansion, which are key drivers of enterprise value in the high-growth fintech sector.",company,NULL
176,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut CEO Storonsky Says Digital Bank’s IPO Is Two Years Out - Bloomberg.com,Revolut CEO Storonsky Says Digital Bank’s IPO Is Two Years Out&nbsp;&nbsp;Bloomberg.com,00:00.0,https://news.google.com/rss/articles/CBMiswFBVV95cUxQR05ZMVNOMEphT0laYnRLY1ZjRlZ3SDFIcUluN19DUzBhVTcxdThRZmZuSjZtRmZQWmpjc2FKX1hoWmxYVUZiXzBkeTd1ZmhUUlNJTk9wcmN0MDVCX2JfZE5JU0lzb3FNRVQ5MnpyckJ4RmotMDZrOGl1R2RobGZxdWw2enhhRUZQem9WNnptX19ieGwyQXNhcjh5UVgtRnBrQXk3c1lKd01sNDBGMzBKWWtvdw?oc=5,Bloomberg.com,4/22/2026,"The CEO's public statement of a two-year IPO timeline is strategically significant, indicating Revolut's trajectory toward going public and likely triggering increased scrutiny of profitability, regulatory compliance, and unit economics ahead of listing. This timeline directly impacts valuation expectations, investor positioning, and the company's capital structure planning, as the path to IPO typically requires demonstrated sustainable growth and margin improvement.",company,NULL
177,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut aims for $200bn valuation in stock market listing - Financial Times,Revolut aims for $200bn valuation in stock market listing&nbsp;&nbsp;Financial Times,17:19.0,https://news.google.com/rss/articles/CBMihAFBVV95cUxNWDFLTXJFM2NhQktSdFZvUjZYemVfNDNMRS15MzhlT0Z1T2NxR3Q0MWNWT0tUd3IyX2dCSWpVcEZVTkprejZCc0I1WEItOUMyVTRHUnZFS01aczM2aUthOHY3NDRsUy05OEQxbkxhdVhKOWszREJVZGZDRG1XYllwc2FXWjA?oc=5,Financial Times,4/22/2026,"Revolut's pursuit of a $200bn public market valuation represents a critical milestone for the fintech neobank, signaling investor confidence in its business model and growth trajectory while potentially unlocking liquidity for early shareholders and capital for expansion. An IPO at this valuation would represent substantial value creation from the company's founding and could materially impact its cost of capital, operational flexibility, and ability to pursue strategic acquisitions—directly affecting future revenue growth, profitability margins, and shareholder returns for PE investors.",company,NULL
178,Revolut,d46d3f2b-1254-4e9e-b656-032981fd5d4b,Revolut targets a $200 billion IPO just months after its $75 billion share sale - CoinDesk,Revolut targets a $200 billion IPO just months after its $75 billion share sale&nbsp;&nbsp;CoinDesk,10:29.0,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNR2paeEdGaV9jTjlkY1N0Y3hSb3F3c2ZxNURtMzUxckVFR3V6Nm1rQ1ZmTnZveWZqNG9JbmdTS0NQdmtXUnEtUjRseWNiYzdrS3FWWmU0WGdtTWswQXpBS0R3ek93SzhjS1N4RklWck03XzlzRk41LU5uYXl6WTNGZ18tRjBpX2RqQm9pdmVqM05JXzZPRm1Cd2xON0lsYXF6QzQxdVdGNkl2X0FLOWpJVGRxMGlxTlBOZldlZEpHSG9WbUtndllvMUJ0VUlHZUF5?oc=5,CoinDesk,4/22/2026,"This article addresses a major capital event with significant valuation implications, reporting Revolut's IPO targeting a $200 billion valuation shortly after a $75 billion secondary share sale. The reported valuation trajectory and public market transition would materially impact the company's cost of capital, shareholder structure, and financial flexibility, representing a critical milestone for PE investors' exit strategy and potential returns.",company,NULL
