entity_id,company_name,sector,geography,investment_date,investment_status,security_type,ownership_structure,funds,fund_ownership_entry_pct,fund_current_ownership_pct,tsg_controlled_entry_pct,tsg_controlled_current_pct,fx_to_usd_entry,fx_to_usd_current,entry_tev,current_tev,current_tev_to_revenue,current_tev_to_ebitda,gross_moi,ltm_revenue,ltm_adj_ebitda,ltm_ebitda,ltm_free_cash_flow,ltm_credit_agreement_ebitda,ltm_capex,ltm_cash_interest,ltm_cash_taxes,ltm_principal_payments,ltm_ebitda_margin,ltm_gross_margin,net_leverage_x,net_leverage,interest_coverage,net_debt,total_gross_debt,ltm_tev,revenue_yoy,ebitda_yoy,adj_ebitda_yoy,overall_flag,revenue_growth_flag,ebitda_margin_flag,gross_margin_flag,net_leverage_flag,interest_coverage_flag,as_of_date
5c86fd1b-e1f0-4ab4-b7e9-12fbba1ee04f,Revolut,Consumer Tech,GBR-United Kingdom,2020-07-07,CURRENT,Common,Minority,TSG7B,,,,,,,5580.011865,45288.535126,8.915980103361623,,8.11620767512472,5079.47916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795858,0.0,0.0,,0.0,0.0,45288.535126,0.5627948741065825,0.7733974195160298,0.7733974195160298,Red,Green,Red,Green,Green,N/A,2025-06-30
c92e703b-16a9-430c-a614-bf50189842a5,Mavis,Automotive,USA-United States,2021-05-04,CURRENT,Common,Control,TSG8,,,,,,,6405.904577,10894.2,2.5543259085580305,19.0925341745531,1.7006497472839268,4265.0,570.6,570.6,88.434,696.5,446.099,235.918,59.464,-0.574,0.13378663540445487,,,,,-126.176758,4475.5,10894.2,0.03737888680528858,,0.22547013752174613,Yellow,Yellow,Yellow,N/A,N/A,N/A,2025-07-31
472f81ee-7bb9-4ef4-a48d-9f1c0ada810e,Wrench Group,Household,USA-United States,2022-11-09,CURRENT,Common,Minority,TSG9,,,,,,,3300.0,3379.771985,2.239445925104827,20.168351364737614,1.0241733287878787,1509.200087,167.578,167.578,136.517697,167.578,12.618,110.046238,1.33872,9.311,0.1110376294326307,0.51277,36.281138,36.281138,0.441549,1160.02527,1198.346009,3379.771985,0.07000278706680109,0.13604352959296484,0.1939920401833897,Red,Yellow,Yellow,Green,Red,Red,2025-10-31
5c9d7c7a-e3b7-4866-816d-a1f66cf543d3,Thrive Pet Healthcare,Pet,USA-United States,2020-03-31,CURRENT,Common,Control,TSG8,,,,,,,2457.601195,2499.0,2.0258179365772566,18.301191965640513,1.0168452086873272,1233.575809,136.548483,136.548483,117.702215,144.554,26.461195,135.065709,0.0,9.231,0.11069322371901345,0.35461,,,,-153.448503,2012.355295,2499.0,0.02702007755954133,,,Yellow,Yellow,Yellow,Yellow,N/A,N/A,2025-07-31
05e70849-4954-4b3a-b6cd-8d3f35901a45,Rough Country,Automotive,USA-United States,2021-07-28,CURRENT,Common,Control,TSG8,,,,,,,1650.0,1792.8,3.3059192328969207,13.995316159250585,1.0865454545454545,542.3,128.1,128.1,108.904,128.1,6.566,60.165,5.097,-5.077527,0.23621611654066016,0.359621,23.807589,23.807589,-5.338466,640.255907,645.333434,1792.8,0.0453331902047394,0.15256367986884709,-0.0961851239275025,Red,Yellow,Green,Yellow,Red,Red,2025-10-31
41f73172-e481-4d26-b8f0-4026b67c866c,Summer Fridays,Beauty & Personal Care,USA-United States,2024-07-24,CURRENT,Common,Control,TSG9,,,,,,,700.0,1254.226546,5.064445383274885,10.168000033854785,1.7917522085714288,247.653287,123.350368,123.350368,23.051641,123.350368,9.217099,9.162751,61.784212,0.0,0.4980768456345988,,11.944688,11.944688,2.278517,210.066259,249.375,1254.226546,0.03840230104735187,-0.32656401227878645,-0.34264757522990624,Red,Yellow,Green,N/A,Red,Yellow,2025-09-30
1589beca-4545-44a3-b9ed-3d1d9334dcee,ATI,Household,USA-United States,2020-07-31,CURRENT,Common,Control,TSG8,,,,,,,375.0,1028.9,1.6218147408351158,15.712898032149274,2.7437333333333336,634.412781,50.433268,50.433268,40.719329,50.433268,0.259657,38.920618,0.019848,-0.78075,0.07949598354639706,0.365098,59.573388,59.573388,-6.219488,318.62426,330.153621,1028.9,-0.17527580185737954,-0.7684779047276801,-0.7491943060232374,Red,Red,Red,Yellow,Red,Red,2025-11-30
3940221e-1730-4b0a-b761-4a66bcf4612c,Core Power,Health & Wellness,USA-United States,2019-04-02,CURRENT,Common and Preferred,Control,TSG8,,,,,,,250.921511,746.13288,3.3227719029544507,15.0,2.9735708071676643,224.551339,49.742192,49.742192,34.437767,59.378,16.586,23.831644,0.212731,1.721209,0.22151812686363007,,20.890911,20.890911,6.790974,232.740238,244.187238,746.13288,,3.0371664947194885,0.144187732196345,Red,N/A,Green,N/A,Red,Green,2025-10-31
fc7032aa-7688-4937-bbe7-c874e2f64461,BrewDog,Food & Beverage,GBR-United Kingdom,2017-04-06,CURRENT,Convertible Preferred,Minority,TSG7A,,,,,,,707.464117,725.370182,2.022243034097671,256.25497039910863,1.025310209478794,358.695849,2.830658,2.830658,-12.199467,2.830658,-6.004219,-13.278801,0.0,-12.670417,0.00789152706364327,0.405964,-0.089734,-0.089734,-0.021177,-0.115563,-0.115563,725.370182,-0.02832732694561948,-1.12848660756885,-1.12848660756885,Red,Red,Red,Green,Green,Red,2025-08-31
124cc0b7-030c-4f8c-93f7-8cd967be199e,Endeavor,Education,USA-United States,2023-02-02,CURRENT,Common,Control,TSG9,,,,,,,0.0,687.709565,2.5931576770275897,23.781063344201744,,265.2016,28.918369,28.918369,17.621956,36.660454,10.338893,35.088405,0.76752,2.664,0.10904296580412788,0.544841,32.337896,32.337896,0.232195,279.657021,283.470791,687.709565,0.0036527941901729013,-0.1512473408712632,,Red,Yellow,Yellow,Green,Red,Red,2025-06-30
